Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Requiem for a Dream,(2000),102 min,8.3,71        ,"869,491",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Good Will Hunting,(1997),126 min,8.3,70        ,"1,015,503",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
2001: A Space Odyssey,(1968),149 min,8.3,84        ,"692,843",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
To Kill a Mockingbird,(1962),129 min,8.3,88        ,"324,676",#113,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
Reservoir Dogs,(1992),99 min,8.3,81        ,"1,052,881",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
A Clockwork Orange,(1971),136 min,8.3,77        ,"855,083",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Scarface,(1983),170 min,8.3,65        ,"877,424",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"1,040,452",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
The Hunt,(2012),115 min,8.3,77        ,"346,245",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Full Metal Jacket,(1987),116 min,8.3,78        ,"765,671",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Once Upon a Time in America,(1984),229 min,8.3,75        ,"364,127",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Toy Story,(1995),81 min,8.3,96        ,"1,030,304",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Hamilton,(2020),160 min,8.3,89        ,"104,338",#110,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Up,(2009),96 min,8.3,88        ,"1,082,630",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Incendies,(2010),131 min,8.3,80        ,"187,088",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Lawrence of Arabia,(1962),218 min,8.3,100        ,"303,953",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
