Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Let the Right One In,(2008),114 min,7.9,82        ,"222,266",$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
The Wrestler,(2008),109 min,7.9,80        ,"314,320",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
All the President's Men,(1976),138 min,7.9,84        ,"121,673",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
Before Midnight,(2013),109 min,7.9,94        ,"166,215",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
Bound by Honor,(1993),180 min,7.9,47        ,"32,946",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
Doctor Zhivago,(1965),197 min,7.9,69        ,"79,941",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
Nosferatu,(1922),94 min,7.9,0,"101,559",0,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
Notorious,(1946),102 min,7.9,100        ,"104,403",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
Shoplifters,(2018),121 min,7.9,93        ,"81,768",$3.31M,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
Hero,(2002),120 min,7.9,85        ,"185,057",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
The Killing,(1956),84 min,7.9,91        ,"93,652",0,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
Being There,(1979),130 min,7.9,83        ,"75,389",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
The Raid 2,(2014),150 min,7.9,71        ,"128,137",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
The Searchers,(1956),119 min,7.9,94        ,"93,427",0,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
A Streetcar Named Desire,(1951),122 min,7.9,97        ,"111,851",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
The Wild Bunch,(1969),135 min,7.9,98        ,"88,030",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
King Kong,(1933),100 min,7.9,92        ,"88,468",$10.00M,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
Dancer in the Dark,(2000),140 min,7.9,63        ,"113,710",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
A Christmas Story,(1983),93 min,7.9,77        ,"161,398",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
Patton,(1970),172 min,7.9,86        ,"105,679",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
Togo,(2019),113 min,7.9,69        ,"52,617",0,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
Harold and Maude,(1971),91 min,7.9,62        ,"79,980",0,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
Sing Street,(2016),106 min,7.9,79        ,"97,968",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
The Artist,(I) (2011),100 min,7.9,89        ,"245,575",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
The Manchurian Candidate,(1962),126 min,7.9,94        ,"77,699",0,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
The Big Sleep,(1946),114 min,7.9,86        ,"88,431",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
Three Colors: Blue,(1993),94 min,7.9,87        ,"106,914",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
Once Were Warriors,(1994),102 min,7.9,77        ,"35,815",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
Short Term 12,(2013),96 min,7.9,82        ,"90,005",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
Harvey,(1950),104 min,7.9,0,"57,105",0,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
The Lion in Winter,(1968),134 min,7.9,0,"32,931",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
Rope,(1948),80 min,7.9,73        ,"148,986",0,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
Strangers on a Train,(1951),101 min,7.9,88        ,"137,690",$7.63M,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.
In Cold Blood,(1967),134 min,7.9,89        ,"27,935",0,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
Talk to Her,(2002),112 min,7.9,86        ,"115,432",$9.36M,Two men share an odd friendship while they care for two women who are both in deep comas.
The Conformist,(1970),113 min,7.9,100        ,"32,391",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
The Sacrifice,(1986),149 min,7.9,0,"29,878",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
3-Iron,(2004),88 min,7.9,72        ,"56,886",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
Head-On,(2004),121 min,7.9,78        ,"56,175",0,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"51,894",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
Arsenic and Old Lace,(1944),118 min,7.9,0,"73,131",0,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
Amour,(2012),127 min,7.9,95        ,"103,432",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
The Red Circle,(1970),140 min,7.9,92        ,"26,945",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
Kagemusha,(1980),162 min,7.9,84        ,"37,090",0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
Laura,(1944),88 min,7.9,0,"49,439",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"53,137",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
My Name Is Khan,(2010),165 min,7.9,50        ,"111,677",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
A Taxi Driver,(2017),137 min,7.9,69        ,"28,118",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
Hiroshima Mon Amour,(1959),90 min,7.9,0,"34,386",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
About Elly,(2009),119 min,7.9,87        ,"55,565",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
Mildred Pierce,(1945),111 min,7.9,88        ,"27,613",0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
I Remember,(1973),123 min,7.9,0,"45,458",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"72,443",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Miracle on 34th Street,(1947),96 min,7.9,88        ,"51,395",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
In a Lonely Place,(1950),94 min,7.9,0,"33,559",0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
The Thin Man,(1934),91 min,7.9,86        ,"31,529",0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
Elevator to the Gallows,(1958),91 min,7.9,94        ,"27,433",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
The Big Heat,(1953),89 min,7.9,0,"27,939",0,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
The Lost Weekend,(1945),101 min,7.9,0,"38,967",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
Sullivan's Travels,(1941),90 min,7.9,0,"27,732",0,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
The Way He Looks,(2014),96 min,7.9,71        ,"26,801",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
"4 Months, 3 Weeks and 2 Days",(2007),113 min,7.9,97        ,"62,161",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
Gully Boy,(2019),154 min,7.9,65        ,"41,812",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
Beauty and the Beast,(1946),93 min,7.9,92        ,"27,375",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
Battleship Potemkin,(1925),66 min,7.9,97        ,"59,881",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
Jab We Met,(2007),138 min,7.9,0,"56,188",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
The Return,(2003),110 min,7.9,82        ,"46,553",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
Nine Queens,(2000),114 min,7.9,80        ,"55,225",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"33,691",0,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
Through a Glass Darkly,(1961),90 min,7.9,84        ,"26,526",0,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
The Rules of the Game,(1939),110 min,7.9,99        ,"30,382",0,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
Dev.D,(2009),144 min,7.9,0,"31,580",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
No Man's Land,(I) (2001),98 min,7.9,84        ,"48,089",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
Super 30,(2019),154 min,7.9,0,"34,558",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
Badhaai Ho,(2018),124 min,7.9,0,"36,377",0,A man is embarrassed when he finds out his mother is pregnant.
Pad Man,(2018),140 min,7.9,0,"27,529",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
Baby,(I) (2015),159 min,7.9,0,"59,043",0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
Airlift,(2016),130 min,7.9,0,"58,020",0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
Dunkirk,(2017),106 min,7.8,94        ,"700,388",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
John Wick: Chapter 4,(2023),169 min,7.8,78        ,"255,828",0,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
The Batman,(2022),176 min,7.8,72        ,"718,048",$369.35M,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Everything Everywhere All at Once,(2022),139 min,7.8,81        ,"468,977",$72.86M,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Little Women,(2019),135 min,7.8,91        ,"224,819",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
Pride & Prejudice,(2005),129 min,7.8,82        ,"313,105",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Drive,(I) (2011),100 min,7.8,78        ,"674,799",$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
The Notebook,(2004),123 min,7.8,53        ,"593,866",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
The Big Short,(2015),130 min,7.8,81        ,"454,762",$70.26M,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
The Gentlemen,(2019),113 min,7.8,51        ,"366,806",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
All Quiet on the Western Front,(2022),148 min,7.8,76        ,"216,440",0,A young German soldier's terrifying experiences and distress on the western front during World War I.
About Time,(I) (2013),123 min,7.8,55        ,"368,783",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
The Breakfast Club,(1985),97 min,7.8,66        ,"420,060",$45.88M,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"212,106",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
The Hateful Eight,(2015),168 min,7.8,68        ,"631,340",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
Back to the Future Part II,(1989),108 min,7.8,57        ,"554,195",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
Call Me by Your Name,(2017),132 min,7.8,94        ,"293,567",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Get Out,(I) (2017),104 min,7.8,85        ,"649,957",$176.04M,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Atonement,(2007),123 min,7.8,85        ,"290,156",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
The Irishman,(2019),209 min,7.8,94        ,"409,433",$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
Tombstone,(1993),130 min,7.8,50        ,"158,055",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
Ghostbusters,(1984),105 min,7.8,71        ,"429,196",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
RRR,(2022),187 min,7.8,83        ,"154,501",$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
Hot Fuzz,(2007),121 min,7.8,81        ,"521,522",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
Apocalypto,(2006),139 min,7.8,68        ,"322,244",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
The Social Network,(2010),120 min,7.8,95        ,"730,801",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
Nightcrawler,(2014),117 min,7.8,76        ,"577,688",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
Hidden Figures,(2016),127 min,7.8,74        ,"243,816",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Rogue One: A Star Wars Story,(2016),133 min,7.8,65        ,"663,299",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"674,083",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"478,249",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
Predator,(1987),107 min,7.8,47        ,"438,556",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"849,351",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Little Miss Sunshine,(2006),101 min,7.8,80        ,"501,009",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
The Sandlot,(1993),101 min,7.8,55        ,"98,192",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
The Bourne Identity,(2002),119 min,7.8,68        ,"562,519",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
Manchester by the Sea,(2016),137 min,7.8,96        ,"297,339",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
The Untouchables,(1987),119 min,7.8,79        ,"321,454",$76.27M,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"953,029",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"373,265",$70.14M,"A popular high school student, admired by his peers, decides to take a day off from school, and goes to extreme lengths to it pull off, to the chagrin of his Principal who'll do anything to stop him."
Remember the Titans,(2000),113 min,7.8,48        ,"224,361",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
Cast Away,(2000),143 min,7.8,73        ,"615,743",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
Moonrise Kingdom,(2012),94 min,7.8,84        ,"360,136",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Close,(I) (2022),104 min,7.8,81        ,"26,244",0,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility."
A Bronx Tale,(1993),121 min,7.8,80        ,"151,837",$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Skyfall,(2012),143 min,7.8,81        ,"714,332",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
Taken,(I) (2008),90 min,7.8,51        ,"618,363",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
The Worst Person in the World,(2021),128 min,7.8,90        ,"83,041",0,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
Captain America: Civil War,(2016),147 min,7.8,75        ,"821,164",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
Misery,(1990),107 min,7.8,75        ,"223,471",$61.28M,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
Captain Fantastic,(2016),118 min,7.8,72        ,"227,428",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
The Last Samurai,(2003),154 min,7.8,55        ,"456,039",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
The Fugitive,(1993),130 min,7.8,87        ,"307,367",$183.88M,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
The Man from Earth,(2007),87 min,7.8,0,"194,008",0,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
Isle of Dogs,(2018),101 min,7.8,82        ,"181,428",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Moon,(2009),97 min,7.8,67        ,"368,622",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
Midnight Cowboy,(1969),113 min,7.8,79        ,"116,051",$44.79M,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
Captain Phillips,(2013),134 min,7.8,82        ,"478,153",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
Captain America: The Winter Soldier,(2014),136 min,7.8,70        ,"874,806",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
American Gangster,(2007),157 min,7.8,76        ,"439,802",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
Awakenings,(1990),121 min,7.8,74        ,"151,144",$52.10M,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
Thirteen Lives,(2022),147 min,7.8,66        ,"62,563",0,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        ,"683,905",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
The Fighter,(I) (2010),116 min,7.8,79        ,"379,722",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
Serenity,(2005),119 min,7.8,74        ,"301,437",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
Big Hero 6,(2014),102 min,7.8,74        ,"482,393",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
I Saw the Devil,(2010),144 min,7.8,67        ,"138,985",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
Mary Poppins,(1964),139 min,7.8,88        ,"179,755",$102.27M,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
Straight Outta Compton,(2015),147 min,7.8,72        ,"211,098",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
Boyz n the Hood,(1991),112 min,7.8,76        ,"147,972",$57.50M,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
Paddington 2,(2017),103 min,7.8,88        ,"86,478",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Jujutsu Kaisen 0,(2021),112 min,7.8,71        ,"26,411",$34.54M,"Yuta Okkotsu, a high schooler who gains control of an extremely powerful Cursed Spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers to help him control his power and keep an eye on him."
The Fall,(I) (2006),117 min,7.8,64        ,"114,781",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
The Holy Mountain,(1973),114 min,7.8,76        ,"45,932",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
Walk the Line,(2005),136 min,7.8,72        ,"259,128",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
The Day of the Jackal,(1973),143 min,7.8,80        ,"42,998",$16.06M,"In the aftermath of France allowing Algeria's independence, a group of resentful military veterans hire a professional assassin codenamed ""Jackal"" to kill President Charles de Gaulle."
Kramer vs. Kramer,(1979),105 min,7.8,77        ,"150,579",$106.26M,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation."
The Remains of the Day,(1993),134 min,7.8,86        ,"79,625",$22.95M,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.
The Insider,(1999),157 min,7.8,84        ,"175,902",$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
The Girl with the Dragon Tattoo,(2009),152 min,7.8,76        ,"220,310",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
